Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Beak Direction,Fan Art Beak Direction,Swift Start,Automata Ban,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Satyr Tragopan,Tragopan satyra,asia,brown,"Give 1 [card] from your hand to another player. If you do, lay 2 [egg] on this bird.","During display, males of this species inflate their colorful lappets and display blue ""horns.""",,,,5,platform,2,26,X,,,,1,,1,,,,,,2,L,L,,,,,,,X,,,,,,,,,,X,,,,,,,X,,,,X,X,,,X,X,,,,Tragopan satyra,Phasianidae,Galliformes,7CMW4,4,underused tier,https://navarog.github.io/wingsearch/card/428,TRUE
Savannah Sparrow,Passerculus sandwichensis,core,white,Play an additional bird in your [grassland]. Pay its normal cost.,"This sparrow is named after both Savannah, Georgia, and Sandwich Sound, Alaska.",,,,2,ground,3,18,,X,,1,1,,,,,,/,,1,R,,,,X,X,,,,,,,X,,,X,,,X,,X,,,,,,,,,X,,X,,,,,,,Passerculus sandwichensis,Passerellidae,Passeriformes,4DXYF,3,tier 2,https://navarog.github.io/wingsearch/card/216,FALSE
Savi's Warbler,Locustella luscinioides,european,brown,Draw 2 [card]. All other players draw 1 [card] from the deck.,"Paolo Savi is called the father of Italian geology, but he was also an ornithologist.",,,,1,bowl,4,20,,,X,1,,,,,,,,,1,R,,,,,,,X,X,X,,,,X,,X,,,,,,,,,X,,,,,X,,,,,,X,X,,Locustella luscinioides,Locustellidae,Passeriformes,6QLJV,2,tier 1,https://navarog.github.io/wingsearch/card/217,FALSE
Say's Phoebe,Sayornis saya,core,white,Lay 1 [egg] on each of your birds with a [bowl] nest.,"Thomas Say also has snails, crabs, and a snake named after him.",,,,5,bowl,3,33,,X,,3,,,,,,,,,3,R,R,,,X,X,,,,,,,,X,,,,,,X,,,,,X,,,,,,,X,,,,,X,,Sayornis saya,Tyrannidae,Passeriformes,79T3D,3,tier 2,https://navarog.github.io/wingsearch/card/218,TRUE
Scaled Quail,Callipepla squamata,core,brown,Lay 1 [egg] on this bird.,Quail chicks can get up and follow their parents as soon as they hatch.,,,,0,ground,6,36,,X,,,1,,,,,,,,1,R,R,X,,X,X,,,,,,,,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,Callipepla squamata,Odontophoridae,Galliformes,PSBV,2,tier 1,https://navarog.github.io/wingsearch/card/219,TRUE
Scaly-Breasted Munia,Lonchura punctulata,asia,brown,Gain 1 [seed] from the supply or tuck 1 [card] from the deck behind this bird.,These social finches gain time to forage by sharing the work of looking out for predators.,,X,,2,wild,3,22,,X,X,,1,,1,,,,,,2,L,,,,,,,,X,,,X,,,,X,X,X,X,,X,,,,,,,X,,X,X,,,,X,,X,,Lonchura punctulata,Estrildidae,Passeriformes,3VYFF,1,tier 0,https://navarog.github.io/wingsearch/card/429,FALSE
Scarlet Tanager,Piranga olivacea,promoUS,brown,"You may reset the birdfeeder. Gain 1 [invertebrate] and/or 1 [fruit] from the birdfeeder. If you do, all other players may gain 1 [invertebrate] or 1 [fruit] from the supply.",The male scarlet tanager trades its brilliant vermilion plumage for duller colors in autumn.,,,,7,bowl,2,28,X,,,1,,,2,,,,,,3,L,,,,X,X,,,,,,,,,X,,,,,X,,,,,,X,,,,X,,,,X,X,,X,,Piranga olivacea,Cardinalidae,Passeriformes,4J7PG,,,https://navarog.github.io/wingsearch/card/593,FALSE
Scissor-Tailed Flycatcher,Tyrannus forficatus,core,brown,All players gain 1 [invertebrate] from the supply.,The mating display of these birds involves aerial acrobatics that show off their long tails.,,,,8,bowl,2,38,,X,,2,,,1,,,,,,3,R,R,,,X,X,,,,,,X,,,,,,,,X,,,,,,,,,,,,X,,X,X,,X,,Tyrannus forficatus,Tyrannidae,Passeriformes,59Z2M,2,tier 1,https://navarog.github.io/wingsearch/card/220,TRUE
Sharp-Tailed Grouse,Tympanuchus phasianellus,promoCA,pink,"When another player plays a bird in their [grassland], lay 1 [egg] on this bird.","These peculiar-looking landfowl use large, open areas for their dramatic mating displays.",,,,4,ground,6,51,X,X,,,1,,1,,,,,,2,R,,,,X,,,,,,,X,,,,,X,,X,,X,,,,,,,,,,,,,,X,,,,Tympanuchus phasianellus,Phasianidae,Galliformes,7DB5J,,,https://navarog.github.io/wingsearch/card/495,FALSE
Shore Plover,Thinornis novaeseelandiae,promoNZ,white,Draw 2 new bonus cards. You may discard any number of [rodent] to draw twice that many additional new bonus cards. Keep 1 of the bonus cards you drew.,"This shorebird is especially vulnerable to mammalian predators; as of 2025, only about 200 remain.",,,X,4,ground,2,38,,,X,2,,,,,,,,,2,R,,,,,,,,,,X,,X,,,,,,,,X,X,,,X,,,,,,,,,X,,X,,,Thinornis novaeseelandiae,Charadriidae,Charadriiformes,56HCB,,,https://navarog.github.io/wingsearch/card/538,FALSE
Short-Toed Treecreeper,Certhia brachydactyla,european,brown,"Discard 1 [egg] from any bird. If you do, play another bird in your [forest]. Pay its normal food and egg cost.",This bird uses its long beak to feed on insects hidden in tree bark crevices.,,,,2,cavity,5,20,X,,,1,1,,,,,,,,2,L,R,,,,,,X,,,,X,,,,X,,,X,,,,,,,X,,X,,X,,,,,,,,,Certhia brachydactyla,Certhiidae,Passeriformes,69N9M,3,tier 2,https://navarog.github.io/wingsearch/card/221,TRUE
Silvereye,Zosterops lateralis,oceania,brown,All players gain 1 [nectar] from the supply.,This bird’s name comes from the ring of white feathers around its eye.,,,,4,bowl,4,17,X,X,X,1,,,,,1,,,,2,L,L,,,,,,,,,X,X,,,X,,X,,,,,,,,,,,,,X,,,,,,,X,,Zosterops lateralis,Zosteropidae,Passeriformes,5D8MW,2,tier 1,https://navarog.github.io/wingsearch/card/340,TRUE
Small Minivet,Pericrocotus cinnamomeus,asia,white,Play 1 additional bird in your [forest]. You may ignore 1 [invertebrate] or 1 [egg] in its cost.,"Minivets often join mixed-species flocks in the forest canopy, where they forage for insects.",,,,3,bowl,2,28,X,,,1,,,,,,,,,1,R,R,,,,,,,X,,,,,,,X,,,,,,,,,X,X,,,,X,,,,X,,,X,,Pericrocotus cinnamomeus,Campephagidae,Passeriformes,6V4M2,2,tier 1,https://navarog.github.io/wingsearch/card/430,TRUE
Smew,Mergellus albellus,asia,white,Draw 4 [card]. Tuck 2 [card] behind this bird and add the other 2 [card] to your hand.,This small duck breeds in freshwater lakes in the subarctic taiga.,,X,,4,cavity,4,62,X,,X,1,1,1,,,,,,,3,R,,,,,,,X,X,,,,,,,,X,X,X,X,,,,X,,,,X,,,,,,,,,,,Mergellus albellus,Anatidae,Anseriformes,3ZTRF,2,tier 1,https://navarog.github.io/wingsearch/card/431,FALSE
Snow Bunting,Plectrophenax nivalis,european,pink,"When another player tucks a [card] for any reason, tuck 1 [card] from your hand behind this bird, then draw 1 [card] at the end of their turn.",Male snow buntings fly north early to find suitable nesting sites in the harsh Arctic climate.,,X,,5,cavity,2,35,,X,X,1,1,,,,,,,,2,L,R,,,X,,,X,X,,,,,,X,,X,X,X,,,,,,,,,X,,,,,,X,,,,,Plectrophenax nivalis,Calcariidae,Passeriformes,77QJ8,1,tier 0,https://navarog.github.io/wingsearch/card/222,TRUE
Snowy Egret,Egretta thula,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.","In the 1880's, these birds' wispy plumes were literally worth their weight in gold.",X,,,4,platform,2,104,,,X,1,,1,,,,,/,,1,L,,,,X,X,X,,,,,,,,X,,,,,,,,X,X,,,X,,,,X,,,X,,X,,,Egretta thula,Ardeidae,Pelecaniformes,6DZ3F,3,tier 2,https://navarog.github.io/wingsearch/card/223,FALSE
Snowy Owl,Bubo scandiacus,european,white,Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.,"Harry Potter’s owl, Hedwig, is a snowy owl.",,,X,4,ground,3,138,,X,X,,,,,2,,,,,2,N,N,,,X,,,X,X,,,,,,X,,X,,,,X,X,,,,,X,,,,,,X,,,,,,Bubo scandiacus,Strigidae,Strigiformes,NKTJ,4,underused tier,https://navarog.github.io/wingsearch/card/224,TRUE
Song Sparrow,Melospiza melodia,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.","When resources are abundant, song sparrows can rear four clutches of eggs in a year.",,,,0,bowl,5,20,X,X,X,1,1,,1,,,,/,,1,R,R,,,X,,,,,,,,,,,X,X,,X,,,,,,,,,,,X,,,,,X,,X,,Melospiza melodia,Passerellidae,Passeriformes,3ZN55,4,underused tier,https://navarog.github.io/wingsearch/card/225,TRUE
Song Thrush,Turdus philomelos,promoUK,pink,"When another player gains [invertebrate], gain 1 [invertebrate] from the supply.",These thrushes like to eat snails by smashing them against a stone with a flick of the head.,,,,3,bowl,4,34,X,X,,1,,,1,,,,,,2,R,,,,,,,X,X,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,X,,X,,Turdus philomelos,Turdidae,Passeriformes,59PMR,,,https://navarog.github.io/wingsearch/card/565,FALSE
South Island Robin,Petroica australis,oceania,brown,"If the player to your right has an [invertebrate] in their supply, cache 1 [invertebrate] from the general supply on this bird.","These robins search for insects on the ground, then cache extras on branches and in crevices.",,,,1,bowl,5,24,X,X,,1,,,,,,,,,1,R,R,,,,,,,,,X,,X,,,X,X,,,,,,,,X,,,,,X,,,,,,,X,,Petroica australis,Petroicidae,Passeriformes,6V6C4,4,underused tier,https://navarog.github.io/wingsearch/card/341,TRUE
South Island Saddleback,Philesturnus carunculatus,promoNZ,white,Play an additional bird in your [forest]. Pay its normal food and egg cost. You may cache any food spent to play that bird on this bird.,Other native species frequently join this wattlebird during its enthusiastic foraging.,,,,3,cavity,2,35,X,,,1,,,,,,1,,,2,L,,,,,,,,,,X,X,X,,,X,,,,,,,,,,X,,X,X,,,,,X,,,,,Philesturnus carunculatus,Callaeatidae,Passeriformes,779Z8,,,https://navarog.github.io/wingsearch/card/539,FALSE
South Island Takahē,Porphyrio hochstetteri,promoNZ,white,"Draw 2 new bonus cards. If there is more than 1 bird in this bird’s habitat, discard 1 bonus card; you may discard a bonus card you did not draw this turn.","This endangered, flightless bird is the largest rail species and is aggressively territorial.",,,X,5,ground,1,*,,X,X,,2,,,,,1,,,3,R,,,,,,,,,,X,,X,,,,X,,X,X,X,X,,,,,X,,X,X,,,,X,,,,,Porphyrio hochstetteri,Rallidae,Gruiformes,4LZ56,,,https://navarog.github.io/wingsearch/card/540,FALSE
Southern Cassowary,Casuarius casuarius,oceania,white,"Discard a bird from your [forest] and put this bird in its place (do not pay an egg cost). If you do, lay 4 [egg] on this bird and gain 2 [fruit] from the supply.",These aggressive birds are important for dispersing the seeds of large fruits in the rainforest.,,,,4,ground,4,*,X,,,,,,2,,,1,,,3,L,,,,,,,,,,X,,X,,,,,,,X,X,,,,,X,X,,X,X,,,,,X,,,,Casuarius casuarius,Casuariidae,Casuariiformes,RQZ2,3,tier 2,https://navarog.github.io/wingsearch/card/342,FALSE
Spangled Drongo,Dicrurus bracteatus,oceania,pink,"When another player gains [nectar], gain 1 [nectar] from the supply.","This bird makes its own distinctive calls, but also mimics other bird species.",,,,1,bowl,2,27,X,,,1,,,,,1,1,,,3,R,,,,,,,,X,,X,,,,,X,,,,X,,,,,,X,,,X,X,,,,X,,,X,,Dicrurus bracteatus,Dicruridae,Passeriformes,6CTRQ,1,tier 0,https://navarog.github.io/wingsearch/card/343,FALSE
Splendid Fairywren,Malurus splendens,oceania,yellow,"Lay 1 [egg] on each of your birds with a wingspan less than 30cm, including this one.","These birds make dome-shaped nests with a side opening, often in a low bush.",,,,1,wild,5,15,X,X,,2,,,,,,,,,2,R,,,,,,,,,,X,,,,,X,X,,,,X,,,,X,,,X,,X,X,,,,,,X,,Malurus splendens,Maluridae,Passeriformes,6QSWY,3,tier 2,https://navarog.github.io/wingsearch/card/344,FALSE
Spoon-Billed Sandpiper,Calidris pygmea,asia,white,"Draw 2 new bonus cards and keep 1. Other players may discard any 2 resources ([wild], [egg], or [card]) to do the same.","In 2020, there were thought to be fewer than 200 breeding pairs of this critically endangered bird.",,,X,5,ground,2,35,,,X,1,1,,,,,,,,2,N,LR,,,,,,,X,,,X,,,,,,,X,,X,X,,,,,,,,,,,,X,,X,,,Calidris pygmaea,Scolopacidae,Charadriiformes,9HHNS,4,underused tier,https://navarog.github.io/wingsearch/card/432,TRUE
Spotless Crake,Zapornia tabuensis,oceania,yellow,"Lay 1 [egg] on each bird in your [wetland], including this one.",The crake’s eyes turn bright red as it matures.,,,,1,ground,3,28,,,X,1,1,,,,,,/,,1,R,,,,,,,,X,,X,,,,,X,,,X,,X,,,,,,,,,X,,,,,,X,,,Zapornia tabuensis,Rallidae,Gruiformes,CPPF9,4,underused tier,https://navarog.github.io/wingsearch/card/345,FALSE
Spotless Starling,Sturnus unicolor,promoEurope,brown,"Draw and discard 1 [card] from the deck. If it has a ""When Activated"" (brown) power, you may copy that power.",Starlings are able to mimic birds they have heard only once before.,,,,5,cavity,3,38,X,X,,1,,,1,,,,,,2,R,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,X,,,,Sturnus unicolor,Sturnidae,Passeriformes,6ZZX8,,,https://navarog.github.io/wingsearch/card/520,FALSE
Spotted Dove,Streptopelia chinensis,asia,brown,"If this bird has no birds to the right of it, you may move it (only the card) to the player mat of the player on your right (you choose its habitat). If you do, draw 3 [card].","This bird is native to southern Asia, but has been introduced in North America and Oceania.",,,,0,platform,3,45,X,X,X,,1,,,,,,,,1,R,,,,,,,,X,,,,,,,X,X,,X,,,,,,,,,,,,X,,,,,,,,Streptopelia chinensis,Columbidae,Columbiformes,4Z4BP,1,tier 0,https://navarog.github.io/wingsearch/card/433,FALSE
Spotted Owl,Strix occidentalis,core,white,Draw 2 new bonus cards and keep 1.,Habitat for these birds was a topic in logging fights in the Pacific Northwest region of the US.,,,X,5,cavity,1,102,X,,,,,,,2,,,,,2,N,N,,,X,X,,,,,,,,,,,,,,,,X,,,,X,X,X,,,,,X,X,,,,,Strix occidentalis,Strigidae,Strigiformes,CPL3G,2,tier 1,https://navarog.github.io/wingsearch/card/226,TRUE
Spotted Sandpiper,Actitis macularius,core,brown,All players draw 1 [card] from the deck.,These sandpipers consistently bob their tails; people call them teeter-peeps and tip-tails.,,,,5,ground,2,38,,,X,1,,,,,,,,,1,R,R,,,X,X,X,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,,X,,,Actitis macularius,Scolopacidae,Charadriiformes,64R5G,3,tier 2,https://navarog.github.io/wingsearch/card/227,TRUE
Spotted Shag,Phalacrocorax punctatus,promoNZ,white,Tuck up to 5 [card] from your hand behind this bird.,"These elegantly patterned shags can form roosting flocks numbering up to 2,000.",,X,,5,platform,2,95,,,X,,,1,,,,,,,1,R,,,,,,,,,,X,,,,,,,X,,,,,,X,,,X,,,,X,,,X,,X,,,Phalacrocorax punctatus,Phalacrocoracidae,Suliformes,4FQR2,,,https://navarog.github.io/wingsearch/card/541,FALSE
Spotted Towhee,Pipilo maculatus,core,brown,Gain 1 [seed] from the supply.,These birds forage by hopping backwards to uncover insects and seeds in the leaf litter.,,,,0,ground,4,28,X,X,,1,1,,1,,,,/,,1,R,R,,,X,X,X,,,,,,,,,X,X,,X,,X,,,,,,,,,X,,,,,X,,,,Pipilo maculatus,Passerellidae,Passeriformes,4J6J7,3,tier 2,https://navarog.github.io/wingsearch/card/228,TRUE
Sprague's Pipit,Anthus spragueii,core,white,Draw 2 new bonus cards and keep 1.,This rare bird's mating display can last for over an hour.,,,X,3,ground,3,25,,X,,1,1,,,,,,,,2,L,L,,,X,X,,,,,,,,X,,X,,,X,,X,X,,,,,,,,X,,X,,,,,,,Anthus spragueii,Motacillidae,Passeriformes,67KDZ,3,tier 2,https://navarog.github.io/wingsearch/card/229,TRUE
Squacco Heron,Ardeola ralloides,european,brown,Gain 1 face-up [card] that can live in [wetland].,"In mating displays, male squacco herons erect their long showy plume feathers.",,,,3,platform,2,86,,,X,1,,1,,,,,,,2,L,,,,,,,X,,X,,,,,,X,,,,,,,,X,,,X,,,,X,,,X,,X,,,Ardeola ralloides,Ardeidae,Pelecaniformes,GCML,4,underused tier,https://navarog.github.io/wingsearch/card/230,FALSE
Sri Lanka Blue-Magpie,Urocissa ornata,asia,teal,You may cache 1 [wild] from your supply on each of your other birds.,This intelligent corvid rubs caterpillars on branches to remove their hairs before eating them.,,,,9,bowl,2,74,X,,,1,,,1,1,,,,,3,L,R,,,,,,,X,,,,X,,X,,,,,X,,,,,,X,X,,,,,,X,X,X,,X,,Urocissa ornata,Corvidae,Passeriformes,7DTS2,1,tier 0,https://navarog.github.io/wingsearch/card/434,TRUE
Sri Lanka Frogmouth,Batrachostomus moniliger,asia,brown,"Roll any 1 [die]. If you roll a [invertebrate], cache 1 [invertebrate] from the supply on this bird. All players may discard 1 [card] from their hand to gain 1 [invertebrate] from the supply.","Like owls, frogmouths hunt at night---but they catch prey with their beaks, not their feet.",X,,,4,bowl,1,36,X,,,1,,,,,,,,,1,N,N,,,,,,,X,,,X,X,,,,,,,,,,X,,X,X,,,,,,,,X,,,X,,Batrachostomus moniliger,Podargidae,Caprimulgiformes,KZRG,4,underused tier,https://navarog.github.io/wingsearch/card/435,TRUE
Steller's Jay,Cyanocitta stelleri,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",Naturalist Georg Steller saw this bird on a Russian exploration to Alaska in 1741.,,,,5,bowl,2,48,X,,,,2,,,,,1,,,3,L,L,,,X,X,,,,,,,,X,,,,,X,X,,,,,,X,,,X,,,,,X,,,X,,Cyanocitta stelleri,Corvidae,Passeriformes,32NKJ,4,underused tier,https://navarog.github.io/wingsearch/card/231,TRUE
Steppe Eagle,Aquila nipalensis,promoAsia,white,"Shuffle the discarded bonus cards, then draw 3 of them and keep 1.",Agricultural activities and poaching have endangered these formidable scavenging eagles.,,,X,9,ground,2,213,,X,,,,,,3,,,,,3,L,,,,,,,X,X,X,,,X,,,,,,,X,X,X,,,,,X,,,,,X,X,X,,,,,Aquila nipalensis,Accipitridae,Accipitriformes,FZLV,,,https://navarog.github.io/wingsearch/card/469,FALSE
Stitchbird,Notiomystis cincta,promoNZ,brown,"Discard 1 [wild] to draw and discard 1 [card] from the deck. If it has a beak that points left, lay 2 [egg] on this bird; otherwise, lay 1 [egg] on this bird.",The idiosyncratic stitchbird is the only bird known to mate face to face.,,,,2,bowl,4,24,X,,,1,,,1,,1,,/,,1,L,,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,,X,,,,,X,,X,,Notiomystis cincta,Notiomystidae,Passeriformes,6SC9M,,,https://navarog.github.io/wingsearch/card/542,FALSE
Stork-Billed Kingfisher,Pelargopsis capensis,asia,brown,"Choose any 1 [die]. Roll it one for each of your [wetland] birds. If you roll at least 1 [fish], gain 1 from the supply. You may cache it on this bird.","Kingfishers use their strong bills to dig burrows in river banks, dead trees, or termite nests.",X,,,6,cavity,2,56,,,X,,,2,,,,,,,2,R,R,,,,,,,X,,,X,,,,,,,,,,,X,X,,,,X,,,,,,X,,X,,,Pelargopsis capensis,Alcedinidae,Coraciiformes,6TZF6,4,underused tier,https://navarog.github.io/wingsearch/card/436,TRUE
Stubble Quail,Coturnix pectoralis,oceania,white,Discard up to 6 [wild]. Lay 1 [egg] on this bird for each discarded food.,This common quail’s kidneys are adapted to need very little water.,,,,4,ground,6,29,,X,,1,1,,,,,,/,,1,R,,,,,,,,,,X,,,,,,,,X,,X,,,,,,,,,X,,X,,,,,,,Coturnix pectoralis,Phasianidae,Galliformes,YYSP,2,tier 1,https://navarog.github.io/wingsearch/card/346,FALSE
Sulphur-Crested Cockatoo,Cacatua galerita,oceania,brown,"Tuck 1 [card] from your hand behind this bird. If you do, all players gain 1 [nectar] from the supply.","While a flock of cockatoos is on the ground to feed, one bird often keeps guard from above.",,X,,6,cavity,2,103,X,,,,1,,1,,,,,,2,L,L,,,,,,,X,,X,X,,,X,,,X,X,,,,,,,X,X,X,,,,,,X,X,,,,Cacatua galerita,Cacatuidae,Psittaciformes,P57C,4,underused tier,https://navarog.github.io/wingsearch/card/347,TRUE
Sulu Hornbill,Anthracoceros montani,promoAsia,yellow,"Choose 1 other player. For each bird with a [bonus_cards] power on their player mat, draw 1 new bonus card. If you drew at least 1, keep 1.","As of 2019, only 27 mature Sulu hornbills remain in the wild, all on the island of Tawi-Tawi.",,,X,9,cavity,2,74,X,,,,,,3,,,,,,3,R,,,,,,,,X,,,X,X,,,,,,,X,,X,,,,X,X,X,,,,,,X,X,,,,Anthracoceros montani,Bucerotidae,Bucerotiformes,67GSC,,,https://navarog.github.io/wingsearch/card/470,FALSE
Superb Lyrebird,Menura novaehollandiae,oceania,brown,Copy a brown power on one bird in the [forest] of the player to your right.,Male lyrebirds attract mates with their huge tails and an extraordinary ability for mimicry.,,,,5,wild,1,73,X,,,2,,,,,,1,,,3,R,R,,,,,,,,,X,,,,,,,,,X,X,,,,,X,X,X,X,,X,,,X,,,X,,Menura novaehollandiae,Menuridae,Passeriformes,3ZSN6,4,underused tier,https://navarog.github.io/wingsearch/card/348,TRUE
Surfbird,Calidris virgata,promoUS,brown,All players draw 1 [card] from the deck. You may also trade a [card] from your hand with a [card] in the tray.,Surfbirds breed in Alaska and the Yukon but winter as far south as the Strait of Magellan.,,,,5,ground,2,66,,,X,2,,,,,,,,,2,L,,,,X,X,X,,,,,,,,,,,,,,X,,,,X,,X,,,,,,,X,,X,,,Calidris virgata,Scolopacidae,Charadriiformes,9HHNT,,,https://navarog.github.io/wingsearch/card/594,FALSE
Swainson's Hawk,Buteo swainsoni,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.","These hawks feed chicks small mammals and birds, but adults eat mostly insects.",X,,,5,platform,2,130,,X,,1,,,,1,,,,,2,R,R,,,X,X,X,,,,,,,X,,,,,,,,,X,,,,X,,,,X,X,X,X,,,,,Buteo swainsoni,Accipitridae,Accipitriformes,NYVT,4,underused tier,https://navarog.github.io/wingsearch/card/232,TRUE
Taiwan Blue-Magpie,Urocissa caerulea,promoAsia,brown,"Discard 1 [wild], [egg], or [card] to gain 2 [die] from the birdfeeder. Cache 1 of them on this bird.",This memorably plumaged corvid’s Hokkien name translates as “long-tailed mountain-nymph.”,,,,2,bowl,3,98,X,,,,,,,,,2,,,2,L,,,,,,,,X,,,,X,,X,X,,,,,,,,,,X,X,,X,,,,,,,,X,,Urocissa caerulea,Corvidae,Passeriformes,7DTTF,,,https://navarog.github.io/wingsearch/card/471,FALSE
Tawny Frogmouth,Podargus strigoides,oceania,brown,Reset the birdfeeder. Cache 1 [invertebrate] or [rodent] from the birdfeeder (if available) on this bird.,"These nocturnal birds are masters of camouflage, and are often mistaken for broken tree branches.",X,,,5,platform,2,82,X,X,X,2,,,,1,,,,,3,R,R,,,,,,,,,X,X,,,X,,X,,,X,,,X,,,,X,,,,X,,X,X,,,,,Podargus strigoides,Podargidae,Caprimulgiformes,4KPK7,3,tier 2,https://navarog.github.io/wingsearch/card/349,TRUE
Tawny Owl,Strix aluco,promoUK,yellow,"Tuck 1 [card] from your hand behind this bird. For each [rodent] in its food cost, cache 1 [rodent] from the supply on this bird.",The quavering “hoo” call of this owl is often used in TV and films to capture the essence of night.,X,,,6,cavity,1,99,X,,,,,,,2,,,,,2,N,,,,,,,X,,,,,,,X,,,,,,,,X,,,X,X,X,,,,,X,X,,,,,Strix aluco,Strigidae,Strigiformes,532G9,,,https://navarog.github.io/wingsearch/card/566,FALSE
Thekla's Lark,Galerida theklae,european,brown,"Discard 1 [seed] from your supply. If you do, lay 2 [egg] on this bird.",Thekla’s lark was named by German zoologist Alfred Brehm after his sister.,,,,4,ground,3,34,,X,,2,1,,,,,,,,3,R,,,,,,,X,,X,,,,X,,,,,X,X,X,,,,,,,,,,,X,,,,,,,Galerida theklae,Alaudidae,Passeriformes,3F4BN,4,underused tier,https://navarog.github.io/wingsearch/card/233,FALSE
Tomtit,Petroica macrocephala,promoNZ,brown,Cache 1 [invertebrate] from your supply on this bird to lay 1 [egg] on this bird.,"Tomtits hunt for their insect prey at all levels of the forest, usually alone or in pairs.",,,,0,cavity,4,18,X,,,1,,,1,,,,/,,1,R,,,,,,,,,,X,,,,,X,,,,,,,,,,X,,X,,X,,,,,X,,,,Petroica macrocephala,Petroicidae,Passeriformes,6V6C5,,,https://navarog.github.io/wingsearch/card/543,FALSE
Tree Pipit,Anthus trivialis,promoEurope,brown,Gain 1 [invertebrate] from the supply. Other players may discard 1 [egg] to do the same.,"Tree pipits' ""song flight"" involves gliding down from a tree, drawing out its song as it falls.",,,,4,wild,2,26,X,,,1,,,1,,,,,,2,L,,,,,,,X,X,X,,,,,,,,,,,X,,,,,X,,X,,X,X,,,X,X,,X,,Anthus trivialis,Motacillidae,Passeriformes,5VKFM,,,https://navarog.github.io/wingsearch/card/521,FALSE
Tree Swallow,Tachycineta bicolor,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",Tree swallows can form flocks numbering in the hundreds of thousands.,,X,,3,cavity,4,38,,,X,1,,,1,,,,,,2,L,,,,X,X,,,,,,,,,,X,,X,,,,,,,,,,X,,,,,,,X,X,,,Tachycineta bicolor,Hirundinidae,Passeriformes,54CBB,3,tier 2,https://navarog.github.io/wingsearch/card/234,FALSE
Trumpeter Finch,Bucanetes githagineus,asia,white,Play 1 additional bird in your [grassland]. You may ignore 1 [seed] or 1 [egg] in its cost.,This bird's call is said to sound like a toy trumpet.,,,,3,ground,4,24,,X,,,2,,,,,,,,2,R,R,,,,,,,X,X,,,,,,X,,,X,,X,,,,,,,,,X,,X,,,,,,,Bucanetes githagineus,Fringillidae,Passeriformes,NKWJ,2,tier 1,https://navarog.github.io/wingsearch/card/437,TRUE
Trumpeter Swan,Cygnus buccinator,core,,,"With a mass over 9 kilograms, trumpeter swans are the heaviest bird in North America.",,,,9,ground,2,203,,,X,,2,,,,,1,,,3,R,LR,,,X,X,,,,,,,,,,,,,X,X,X,,,,,,X,,X,,,,,X,,X,,,Cygnus buccinator,Anatidae,Anseriformes,32ZQ5,2,tier 1,https://navarog.github.io/wingsearch/card/235,TRUE
Tufted Puffin,Fratercula cirrhata,promoCA,teal,"Roll all dice not in the birdfeeder 3 consecutive times. Each time, cache all [fish] rolled on this bird.","Puffins have sharp, backward-pointing spines in their mouths for holding captured fish.",X,,,8,wild,1,38,,,X,1,,2,,,,,,,3,R,,,,X,,,,X,,,X,,,,,,,,X,X,,X,X,,,,X,,,X,,,X,,X,X,,Fratercula cirrhata,Alcidae,Charadriiformes,6JN2R,,,https://navarog.github.io/wingsearch/card/496,FALSE
Tufted Titmouse,Baeolophus bicolor,core,white,Play an additional bird in your [forest]. Pay its normal cost.,Titmice are key in the formation of mixed-species flocks.,,,,2,cavity,3,25,X,,,1,1,,1,,,,/,,1,L,,,,X,,,,,,,X,,,,X,,,X,,,,,,,X,,X,,X,,,,,X,,,,Baeolophus bicolor,Paridae,Passeriformes,KCM4,3,tier 2,https://navarog.github.io/wingsearch/card/236,FALSE
