Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Swift Start,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Red-Tailed Hawk,Buteo jamaicensis,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.",Movies almost always use the red-tailed hawk's call for any raptor.,X,,,5,platform,2,124,X,X,X,,,,,2,,,,,2,,X,X,,,,,,X,,,X,,X,,,,,,X,,,,X,,,,X,,X,X,,,,,Buteo jamaicensis,Accipitridae,Accipitriformes,69669,2,tier 1,https://navarog.github.io/wingsearch/card/206,TRUE
Red-Vented Bulbul,Pycnonotus cafer,asia,brown,"If you have at least 1 [fruit] in your supply, lay 1 [egg] on this bird.",This bird lays pink eggs with maroon spots.,,,,6,bowl,3,28,,X,,1,,,2,,,,,,3,,,,,,X,,X,X,,,X,,,,,X,,,,,,,,,,X,,X,,,X,,X,,Pycnonotus cafer,Pycnonotidae,Passeriformes,4QMM8,3,tier 2,https://navarog.github.io/wingsearch/card/419,FALSE
Red-Wattled Lapwing,Vanellus indicus,asia,brown,"Discard any number of [card] from the tray, then refill it. If at least 1 of the discarded birds is a [predator], lay 1 [egg] on this bird.","Lapwings aggressively defend their nests, diving at potential predators while calling loudly.",,,,4,ground,3,81,,X,X,2,,,,,,,,,2,,,,,,X,,,X,,,X,,X,,,,X,,,,X,,X,,,,,,,,,,,,Vanellus indicus,Charadriidae,Charadriiformes,7FFJ3,3,tier 2,https://navarog.github.io/wingsearch/card/420,FALSE
Red-Winged Blackbird,Agelaius phoeniceus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.",Blackbird flocks can include hundreds of thousands of birds,,X,,2,bowl,3,33,,X,X,,1,,,,,,,,1,,X,X,,,,,,X,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,X,,Agelaius phoeniceus,Icteridae,Passeriformes,5TQD6,4,underused tier,https://navarog.github.io/wingsearch/card/207,TRUE
Red-Winged Parrot,Aprosmictus erythropterus,oceania,brown,"Give 1 [nectar] from your supply to another player. If you do, lay 2 [egg] on this bird or gain 2 [die] from the birdfeeder.",The male of this species has a blue back that he reveals in his mating display.,,,,6,cavity,2,49,X,X,X,,1,,1,,1,,,,3,,,,,,,,X,X,,,X,,X,,X,X,,,,,,,,X,,,,,,X,X,,,,Aprosmictus erythropterus,Psittaculidae,Psittaciformes,FX6K,3,tier 2,https://navarog.github.io/wingsearch/card/333,TRUE
Regent Bowerbird,Sericulus chrysocephalus,oceania,brown,Choose 1 other player. You both gain 1 [invertebrate] from the supply.,"Bowerbirds decorate their bowers with items like paint, shells, and buttons to attract a mate.",,,,3,bowl,2,36,X,X,,1,1,,1,,,,/,,1,,,,,,,,X,,,,,X,X,,X,,,,,,,,,,,,,,,X,X,,X,,Sericulus chrysocephalus,Ptilonorhynchidae,Passeriformes,6YJD4,3,tier 2,https://navarog.github.io/wingsearch/card/334,TRUE
Rhinoceros Auklet,Cerorhinca monocerata,asia,brown,"Roll any 2 [die]. If you roll at least 1 [fish], cache 1 [fish] from the supply on this bird. All players may discard 1 [card] from their hand to gain 1 [fish] from the supply.","For breeding season, these flock-hunting birds grow a horn-like structure above their beaks.",X,,,5,ground,1,62,,,X,,,1,,,,,,,1,X,X,,,,X,,,,,,,,,,,,X,,X,X,,,,,,,,,,X,,X,,,Cerorhinca monocerata,Alcidae,Charadriiformes,T4FG,2,tier 1,https://navarog.github.io/wingsearch/card/421,FALSE
Ring-Billed Gull,Larus delawarensis,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",These gulls steal food and eggs from other birds and scavenge at garbage dumps.,,X,,4,ground,2,122,,,X,,,,,,,2,,,2,,X,X,,,,,,X,,,,,,X,,,X,,,,,,X,,X,,,,,X,,X,,,Larus delawarensis,Laridae,Charadriiformes,3SBQ4,3,tier 2,https://navarog.github.io/wingsearch/card/208,TRUE
Rock Pigeon,Columba livia,asia,brown,All players lay 1 [egg]. You lay 1 additional [egg].,These birds were domesticated before 3000 BC as message carriers and for food.,,,,0,platform,4,64,,X,,1,1,,,,,,/,,1,X,,,,X,X,X,,,,,,X,,,X,,,,,,,,,,,,X,X,,,,,,,Columba livia,Columbidae,Columbiformes,XBFW,3,tier 2,https://navarog.github.io/wingsearch/card/422,TRUE
Rook,Corvus frugilegus,asia,brown,"Cache 1 [wild] from your supply on this bird or tuck 1 [card] from your hand behind this bird. If you do either, tuck 1 [card] from the deck behind this bird.","The word rookery comes from these birds, who nest in large colonies.",,X,,1,platform,3,90,,X,,,,,,,,1,,,1,,,,,X,X,,,,,,,X,,X,,,,,,,,,X,,X,,X,X,,,,,,,Corvus frugilegus,Corvidae,Passeriformes,YNHT,2,tier 1,https://navarog.github.io/wingsearch/card/423,FALSE
Rose-Breasted Grosbeak,Pheucticus ludovicianus,core,brown,"Gain 1 [seed] or [fruit] from the birdfeeder, if available.","This pretty, sweet-sounding bird has the gruesome nickname ""cut-throat"".",,,,6,bowl,3,33,X,,,1,1,,1,,,,,,3,,X,X,,,,,,X,,,X,,,,X,X,,,,,,X,,,,,,,,,X,,X,,Pheucticus ludovicianus,Cardinalidae,Passeriformes,4G3K3,3,tier 2,https://navarog.github.io/wingsearch/card/209,TRUE
Rose-Ringed Parakeet,Psittacula krameri,asia,white,"Copy a ""When Played"" (white) ability on 1 of your neighbors' birds.",These birds have the ability to mimic human speech and are popular pets.,,,,2,cavity,2,45,X,X,,,1,,1,,,,/,,1,,,,,,X,X,,,,,X,X,X,,X,,,,,,,,,X,,,,,,X,X,,,,Psittacula krameri,Psittaculidae,Psittaciformes,4PKCM,1,tier 0,https://navarog.github.io/wingsearch/card/424,FALSE
Roseate Spoonbill,Platalea ajaja,core,white,Draw 2 new bonus cards and keep 1.,This bird's unusually shaped bill helps it feel prey in the water.,,,X,6,platform,2,127,,,X,1,1,1,,,,,,,3,,X,X,X,,,,,X,,,X,,,,X,X,,X,,X,,,X,,,,X,,,X,,X,,,Platalea ajaja,Threskiornithidae,Pelecaniformes,77NWD,2,tier 1,https://navarog.github.io/wingsearch/card/210,TRUE
Rosy Starling,Pastor roseus,asia,brown,"Tuck up to 3 [card] from your hand behind this bird. If you tuck at least 1 [card], gain 1 [invertebrate] from the supply.",Farmers in China have reduced pesticide use by encouraging these birds to nest near their fields.,,X,,4,cavity,3,35,X,X,X,1,1,,1,,,,,,3,,,,,,X,,,,,,X,,X,X,X,X,,,,,,,,X,,,,,,,X,,,,Pastor roseus,Sturnidae,Passeriformes,4DZCM,1,tier 0,https://navarog.github.io/wingsearch/card/425,FALSE
Royal Spoonbill,Platalea regia,oceania,brown,Draw 1 face-up [card] from the tray with a [platform] or [star] nest. You may reset or refill the tray before doing so.,"Spoonbills nest in colonies, often alongside many other water birds.",,,,4,platform,2,120,,,X,1,,1,,,,,,,2,,,,,,X,,X,X,,,,,,,,,,,,X,,,X,,,,X,,,X,,X,,,Platalea regia,Threskiornithidae,Pelecaniformes,4JMRF,4,underused tier,https://navarog.github.io/wingsearch/card/335,TRUE
Ruby-Crowned Kinglet,Regulus calendula,core,white,Play an additional bird in your [forest]. Pay its normal cost.,Kinglets' ruby-red crown feathers pop up when they are agitated.,,,,2,bowl,3,20,X,,,1,1,,1,,,,/,,1,,X,X,,,,,,X,,,X,X,,,X,,,,,,,X,,,,X,,,,,X,,X,,Corthylio calendula,Regulidae,Passeriformes,CQ6F3,3,tier 2,https://navarog.github.io/wingsearch/card/211,TRUE
Ruby-Throated Hummingbird,Archilochus colubris,core,brown,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",Hummingbirds feed on nectar---but they also eat many small insects.,,,,4,bowl,2,10,X,X,X,,,,,,,1,,,1,,X,X,,,,,,X,,,X,,X,,,,,,,,,,,,X,X,,,,X,,,X,,Archilochus colubris,Trochilidae,Apodiformes,G96Z,2,tier 1,https://navarog.github.io/wingsearch/card/212,FALSE
Ruddy Duck,Oxyura jamaicensis,core,brown,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.","To display for mates, male slap their blue bills on their chests and run across the water.",,,,0,platform,5,48,,,X,1,1,,,,,,/,,1,,X,X,X,,,,,,,,X,X,,,X,,,,,,,,,,,,X,,,,,X,,,Oxyura jamaicensis,Anatidae,Anseriformes,4BMPH,1,tier 0,https://navarog.github.io/wingsearch/card/213,TRUE
Ruddy Shelduck,Tadorna ferruginea,asia,teal,"Draw 5 [card] from the deck. Add 1 to your hand, tuck 1 behind this bird, and discard the rest.",Some say the Buddha used the way these ducks call for their mates as a symbol of attachment.,,X,,3,cavity,4,123,,,X,,2,,,,,1,,,3,,,,,X,X,X,,,,,X,X,,X,X,X,,,,,,,X,X,X,,,,,,,X,,,Tadorna ferruginea,Anatidae,Anseriformes,54GHT,1,tier 0,https://navarog.github.io/wingsearch/card/426,FALSE
Ruff,Calidris pugnax,european,teal,Tuck up to 3 [card] from your hand behind this bird. Draw 1 [card] for each card you tucked.,"During breeding season, male ruffs grow showy collars that can be black, white, or brown.",,X,,2,ground,2,56,,X,X,1,,,,,,1,,,2,,,,,X,X,X,,,,,,X,X,X,,,X,,,,,,,,X,,,,,X,,,,,Calidris pugnax,Scolopacidae,Charadriiformes,9HCHQ,1,tier 0,https://navarog.github.io/wingsearch/card/214,TRUE
Rufous Night-Heron,Nycticorax caledonicus,oceania,brown,"Look at a [card] from the deck. If it can live in [wetland], tuck it behind this bird. If not, discard it.","In addition to invertebrates and fish, night-herons eat eggs and chicks of other wetland birds.",X,,,5,platform,2,106,,,X,1,,1,,,,,,,2,,,,,,X,,X,,,,X,,,,,,,,X,X,,,X,,,,X,,,X,,X,,,Nycticorax caledonicus,Ardeidae,Pelecaniformes,485KK,4,underused tier,https://navarog.github.io/wingsearch/card/336,FALSE
Rufous Owl,Ninox rufa,oceania,brown,Draw 1 face-up [card] from the tray with a wingspan less than 75cm and tuck it behind this bird.,"This large owl will eat prey as large as possums, scrubfowl, and parrots.",X,,,7,cavity,2,115,X,,,,,,,3,,,,,3,,,,,,,,X,,,,X,,,,,X,,,X,,,X,X,X,,,,,X,X,,,,,Ninox rufa,Strigidae,Strigiformes,47FKM,4,underused tier,https://navarog.github.io/wingsearch/card/337,FALSE
Rufous-Banded Honeyeater,Conopophila albogularis,oceania,brown,"Discard 1 [invertebrate]. If you do, gain 1 [nectar] from the supply.",Honeyeaters have a brush-tipped tongue that they use to gather nectar from flowers.,,,,0,bowl,4,22,X,,X,1,,,,,1,,/,,1,,,,,,,,X,,,,X,X,X,,,,,,,,,,,,,X,,,,,,,X,,Conopophila albogularis,Meliphagidae,Passeriformes,XSH6,2,tier 1,https://navarog.github.io/wingsearch/card/338,FALSE
Sacred Kingfisher,Todiramphus sanctus,oceania,pink,"When another player takes the ""gain food"" action, gain 1 [invertebrate], [fish], or [rodent] from the birdfeeder, if there is one, at the end of their turn.","Despite this bird’s name, fish make up a small portion of its diet.",X,,,0,cavity,4,30,X,X,X,1,,1,,1,,,/,,1,,,,,,X,,X,,,,,X,X,,,,,,X,X,,,,X,,X,,,X,,,,,,Todiramphus sanctus,Alcedinidae,Coraciiformes,7CG6P,2,tier 1,https://navarog.github.io/wingsearch/card/339,FALSE
Sandhill Crane,Antigone canadensis,core,brown,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,Sandhill cranes can live for decades and mate for life.,,X,,5,ground,1,196,,X,X,,2,,,,,1,,,3,,X,X,,,,,,,X,,,,X,X,X,X,X,,,,,,X,,X,,,,,X,,,,,Antigone canadensis,Gruidae,Gruiformes,CND6Y,3,tier 2,https://navarog.github.io/wingsearch/card/215,FALSE
Sarus Crane,Antigone antigone,asia,brown,Each player may discard 1 [egg] to draw 1 [card] from the deck.,These wetland birds have adapted to human settings like irrigation ditches and rice fields.,,,,7,ground,2,250,,,X,,,,,,,3,,,3,,,,,,X,,,,,,,,,,,X,X,,,,,,X,,X,,,,,X,,X,,,Antigone antigone,Gruidae,Gruiformes,CND6T,3,tier 2,https://navarog.github.io/wingsearch/card/427,TRUE
Satyr Tragopan,Tragopan satyra,asia,brown,"Give 1 [card] from your hand to another player. If you do, lay 2 [egg] on this bird.","During display, males of this species inflate their colorful lappets and display blue ""horns.""",,,,5,platform,2,26,X,,,,1,,1,,,,,,2,,,,,,X,,,,,,,,,,X,,,,,,,X,,,,X,X,,,X,X,,,,Tragopan satyra,Phasianidae,Galliformes,7CMW4,4,underused tier,https://navarog.github.io/wingsearch/card/428,TRUE
Savannah Sparrow,Passerculus sandwichensis,core,white,Play an additional bird in your [grassland]. Pay its normal cost.,"This sparrow is named after both Savannah, Georgia, and Sandwich Sound, Alaska.",,,,2,ground,3,18,,X,,1,1,,,,,,/,,1,,X,X,,,,,,,X,,,X,,,X,,X,,,,,,,,,X,,X,,,,,,,Passerculus sandwichensis,Passerellidae,Passeriformes,4DXYF,3,tier 2,https://navarog.github.io/wingsearch/card/216,FALSE
Savi's Warbler,Locustella luscinioides,european,brown,Draw 2 [card]. All other players draw 1 [card] from the deck.,"Paolo Savi is called the father of Italian geology, but he was also an ornithologist.",,,,1,bowl,4,20,,,X,1,,,,,,,,,1,,,,,X,X,X,,,,X,,X,,,,,,,,,X,,,,,X,,,,,,X,X,,Locustella luscinioides,Locustellidae,Passeriformes,6QLJV,2,tier 1,https://navarog.github.io/wingsearch/card/217,FALSE
Say's Phoebe,Sayornis saya,core,white,Lay 1 [egg] on each of your birds with a [bowl] nest.,"Thomas Say also has snails, crabs, and a snake named after him.",,,,5,bowl,3,33,,X,,3,,,,,,,,,3,,X,X,,,,,,,,X,,,,,,X,,,,,X,,,,,,,X,,,,,X,,Sayornis saya,Tyrannidae,Passeriformes,79T3D,3,tier 2,https://navarog.github.io/wingsearch/card/218,TRUE
Scaled Quail,Callipepla squamata,core,brown,Lay 1 [egg] on this bird.,Quail chicks can get up and follow their parents as soon as they hatch.,,,,0,ground,6,36,,X,,,1,,,,,,,,1,X,X,X,,,,,,,,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,Callipepla squamata,Odontophoridae,Galliformes,PSBV,2,tier 1,https://navarog.github.io/wingsearch/card/219,FALSE
Scaly-Breasted Munia,Lonchura punctulata,asia,brown,Gain 1 [seed] from the supply or tuck 1 [card] from the deck behind this bird.,These social finches gain time to forage by sharing the work of looking out for predators.,,X,,2,wild,3,22,,X,X,,1,,1,,,,,,2,,,,,,X,,,X,,,,X,X,X,X,,X,,,,,,,X,,X,X,,,,X,,X,,Lonchura punctulata,Estrildidae,Passeriformes,3VYFF,1,tier 0,https://navarog.github.io/wingsearch/card/429,FALSE
Scissor-Tailed Flycatcher,Tyrannus forficatus,core,brown,All players gain 1 [invertebrate] from the supply.,The mating display of these birds involves aerial acrobatics that show off their long tails.,,,,8,bowl,2,38,,X,,2,,,1,,,,,,3,,X,X,,,,,,X,,,,,,,,X,,,,,,,,,,,,X,,X,X,,X,,Tyrannus forficatus,Tyrannidae,Passeriformes,59Z2M,2,tier 1,https://navarog.github.io/wingsearch/card/220,FALSE
Short-Toed Treecreeper,Certhia brachydactyla,european,brown,"Discard 1 [egg] from any bird. If you do, play another bird in your [forest]. Pay its normal food and egg cost.",This bird uses its long beak to feed on insects hidden in tree bark crevices.,,,,2,cavity,5,20,X,,,1,1,,,,,,,,2,,,,,X,,,,X,,,,X,,,X,,,,,,,X,,X,,X,,,,,,,,,Certhia brachydactyla,Certhiidae,Passeriformes,69N9M,3,tier 2,https://navarog.github.io/wingsearch/card/221,FALSE
Silvereye,Zosterops lateralis,oceania,brown,All players gain 1 [nectar] from the supply.,This bird’s name comes from the ring of white feathers around its eye.,,,,4,bowl,4,17,X,X,X,1,,,,,1,,,,2,,,,,,,,X,X,,,X,,X,,,,,,,,,,,,,X,,,,,,,X,,Zosterops lateralis,Zosteropidae,Passeriformes,5D8MW,2,tier 1,https://navarog.github.io/wingsearch/card/340,TRUE
Small Minivet,Pericrocotus cinnamomeus,asia,white,Play 1 additional bird in your [forest]. You may ignore 1 [invertebrate] or 1 [egg] in its cost.,"Minivets often join mixed-species flocks in the forest canopy, where they forage for insects.",,,,3,bowl,2,28,X,,,1,,,,,,,,,1,,,,,,X,,,,,,,X,,,,,,,,,X,X,,,,X,,,,X,,,X,,Pericrocotus cinnamomeus,Campephagidae,Passeriformes,6V4M2,2,tier 1,https://navarog.github.io/wingsearch/card/430,FALSE
Smew,Mergellus albellus,asia,white,Draw 4 [card]. Tuck 2 [card] behind this bird and add the other 2 [card] to your hand.,This small duck breeds in freshwater lakes in the subarctic taiga.,,X,,4,cavity,4,62,X,,X,1,1,1,,,,,,,3,,,,,X,X,,,,,,,,X,X,X,X,,,,X,,,,X,,,,,,,,,,,Mergellus albellus,Anatidae,Anseriformes,3ZTRF,2,tier 1,https://navarog.github.io/wingsearch/card/431,FALSE
Snow Bunting,Plectrophenax nivalis,european,pink,"When another player tucks a [card] for any reason, tuck 1 [card] from your hand behind this bird, then draw 1 [card] at the end of their turn.",Male snow buntings fly north early to find suitable nesting sites in the harsh Arctic climate.,,X,,5,cavity,2,35,,X,X,1,1,,,,,,,,2,,,,,X,X,X,,,,,X,,X,X,X,,,,,,,,,X,,,,,,X,,,,,Plectrophenax nivalis,Calcariidae,Passeriformes,77QJ8,1,tier 0,https://navarog.github.io/wingsearch/card/222,FALSE
Snowy Egret,Egretta thula,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.","In the 1880's, these birds' wispy plumes were literally worth their weight in gold.",X,,,4,platform,2,104,,,X,1,,1,,,,,/,,1,,X,X,X,,,,,,,,X,,,,,,,,X,X,,,X,,,,X,,,X,,X,,,Egretta thula,Ardeidae,Pelecaniformes,6DZ3F,3,tier 2,https://navarog.github.io/wingsearch/card/223,FALSE
Snowy Owl,Bubo scandiacus,european,white,Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.,"Harry Potter’s owl, Hedwig, is a snowy owl.",,,X,4,ground,3,138,,X,X,,,,,2,,,,,2,,X,,,X,X,,,,,,X,,X,,,,X,X,,,,,X,,,,,,X,,,,,,Bubo scandiacus,Strigidae,Strigiformes,NKTJ,4,underused tier,https://navarog.github.io/wingsearch/card/224,TRUE
Song Sparrow,Melospiza melodia,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.","When resources are abundant, song sparrows can rear four clutches of eggs in a year.",,,,0,bowl,5,20,X,X,X,1,1,,1,,,,/,,1,,X,,,,,,,,,,,X,X,,X,,,,,,,,,,,X,,,,,X,,X,,Melospiza melodia,Passerellidae,Passeriformes,3ZN55,4,underused tier,https://navarog.github.io/wingsearch/card/225,TRUE
South Island Robin,Petroica australis,oceania,brown,"If the player to your right has an [invertebrate] in their supply, cache 1 [invertebrate] from the general supply on this bird.","These robins search for insects on the ground, then cache extras on branches and in crevices.",,,,1,bowl,5,24,X,X,,1,,,,,,,,,1,,,,,,,,X,,X,,,X,X,,,,,,,,X,,,,,X,,,,,,,X,,Petroica australis,Petroicidae,Passeriformes,6V6C4,4,underused tier,https://navarog.github.io/wingsearch/card/341,TRUE
Southern Cassowary,Casuarius casuarius,oceania,white,"Discard a bird from your [forest] and put this bird in its place (do not pay an egg cost). If you do, lay 4 [egg] on this bird and gain 2 [fruit] from the supply.",These aggressive birds are important for dispersing the seeds of large fruits in the rainforest.,,,,4,ground,4,*,X,,,,,,2,,,1,,,3,,,,,,,,X,,X,,,,,,,X,X,,,,,X,X,,X,X,,,,,X,,,,Casuarius casuarius,Casuariidae,Casuariiformes,RQZ2,3,tier 2,https://navarog.github.io/wingsearch/card/342,FALSE
Spangled Drongo,Dicrurus bracteatus,oceania,pink,"When another player gains [nectar], gain 1 [nectar] from the supply.","This bird makes its own distinctive calls, but also mimics other bird species.",,,,1,bowl,2,27,X,,,1,,,,,1,1,,,3,,,,,,X,,X,,,,,X,,,,X,,,,,,X,,,X,X,,,,X,,,X,,Dicrurus bracteatus,Dicruridae,Passeriformes,6CTRQ,1,tier 0,https://navarog.github.io/wingsearch/card/343,FALSE
Splendid Fairywren,Malurus splendens,oceania,yellow,"Lay 1 [egg] on each of your birds with a wingspan less than 30cm, including this one.","These birds make dome-shaped nests with a side opening, often in a low bush.",,,,1,wild,5,15,X,X,,2,,,,,,,,,2,,,,,,,,X,,,,,X,X,,,,X,,,,X,,,X,,X,X,,,,,,X,,Malurus splendens,Maluridae,Passeriformes,6QSWY,3,tier 2,https://navarog.github.io/wingsearch/card/344,FALSE
Spoon-Billed Sandpiper,Calidris pygmea,asia,white,"Draw 2 new bonus cards and keep 1. Other players may discard any 2 resources ([wild], [egg], or [card]) to do the same.","In 2020, there were thought to be fewer than 200 breeding pairs of this critically endangered bird.",,,X,5,ground,2,35,,,X,1,1,,,,,,,,2,,,,,,X,,,X,,,,,,,X,,X,X,,,,,,,,,,,,X,,X,,,Calidris pygmaea,Scolopacidae,Charadriiformes,9HHNS,4,underused tier,https://navarog.github.io/wingsearch/card/432,TRUE
Spotless Crake,Zapornia tabuensis,oceania,yellow,"Lay 1 [egg] on each bird in your [wetland], including this one.",The crake’s eyes turn bright red as it matures.,,,,1,ground,3,28,,,X,1,1,,,,,,/,,1,,,,,,X,,X,,,,,X,,,X,,X,,,,,,,,,X,,,,,,X,,,Zapornia tabuensis,Rallidae,Gruiformes,CPPF9,4,underused tier,https://navarog.github.io/wingsearch/card/345,FALSE
Spotted Dove,Streptopelia chinensis,asia,brown,"If this bird has no birds to the right of it, you may move it (only the card) to the player mat of the player on your right (you choose its habitat). If you do, draw 3 [card].","This bird is native to southern Asia, but has been introduced in North America and Oceania.",,,,0,platform,3,45,X,X,X,,1,,,,,,,,1,,,,,,X,,,,,,,X,X,,X,,,,,,,,,,,,X,,,,,,,,Spilopelia chinensis,Columbidae,Columbiformes,4Z4BP,1,tier 0,https://navarog.github.io/wingsearch/card/433,FALSE
Spotted Owl,Strix occidentalis,core,white,Draw 2 new bonus cards and keep 1.,Habitat for these birds was a topic in logging fights in the Pacific Northwest region of the US.,,,X,5,cavity,1,102,X,,,,,,,2,,,,,2,,X,X,,,,,,,,,,,,,,,,X,,,,X,X,X,,,,,X,X,,,,,Strix occidentalis,Strigidae,Strigiformes,CPL3G,2,tier 1,https://navarog.github.io/wingsearch/card/226,TRUE
Spotted Sandpiper,Actitis macularius,core,brown,All players draw 1 [card] from the deck.,These sandpipers consistently bob their tails; people call them teeter-peeps and tip-tails.,,,,5,ground,2,38,,,X,1,,,,,,,,,1,,X,X,X,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,,X,,,Actitis macularius,Scolopacidae,Charadriiformes,64R5G,3,tier 2,https://navarog.github.io/wingsearch/card/227,TRUE
Spotted Towhee,Pipilo maculatus,core,brown,Gain 1 [seed] from the supply.,These birds forage by hopping backwards to uncover insects and seeds in the leaf litter.,,,,0,ground,4,28,X,X,,1,1,,1,,,,/,,1,,X,X,X,,,,,,,,,X,X,,X,,X,,,,,,,,,X,,,,,X,,,,Pipilo maculatus,Passerellidae,Passeriformes,4J6J7,3,tier 2,https://navarog.github.io/wingsearch/card/228,TRUE
Sprague's Pipit,Anthus spragueii,core,white,Draw 2 new bonus cards and keep 1.,This rare bird's mating display can last for over an hour.,,,X,3,ground,3,25,,X,,1,1,,,,,,,,2,,X,X,,,,,,,,X,,X,,,X,,X,X,,,,,,,,X,,X,,,,,,,Anthus spragueii,Motacillidae,Passeriformes,67KDZ,3,tier 2,https://navarog.github.io/wingsearch/card/229,TRUE
Squacco Heron,Ardeola ralloides,european,brown,Gain 1 face-up [card] that can live in [wetland].,"In mating displays, male squacco herons erect their long showy plume feathers.",,,,3,platform,2,86,,,X,1,,1,,,,,,,2,,,,,X,,X,,,,,,X,,,,,,,,X,,,X,,,,X,,,X,,X,,,Ardeola ralloides,Ardeidae,Pelecaniformes,GCML,4,underused tier,https://navarog.github.io/wingsearch/card/230,FALSE
Sri Lanka Blue-Magpie,Urocissa ornata,asia,teal,You may cache 1 [wild] from your supply on each of your other birds.,This intelligent corvid rubs caterpillars on branches to remove their hairs before eating them.,,,,9,bowl,2,74,X,,,1,,,1,1,,,,,3,,,,,,X,,,,X,,X,,,,,X,,,,,,X,X,,,,,,X,X,X,,X,,Urocissa ornata,Corvidae,Passeriformes,7DTS2,1,tier 0,https://navarog.github.io/wingsearch/card/434,TRUE
Sri Lanka Frogmouth,Batrachostomus moniliger,asia,brown,"Roll any 1 [die]. If you roll a [invertebrate], cache 1 [invertebrate] from the supply on this bird. All players may discard 1 [card] from their hand to gain 1 [invertebrate] from the supply.","Like owls, frogmouths hunt at night---but they catch prey with their beaks, not their feet.",X,,,4,bowl,1,36,X,,,1,,,,,,,,,1,,,,,,X,,,X,X,,,,,,,,,,X,,X,X,,,,,,,,X,,,X,,Batrachostomus moniliger,Podargidae,Caprimulgiformes,KZRG,4,underused tier,https://navarog.github.io/wingsearch/card/435,FALSE
Steller's Jay,Cyanocitta stelleri,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",Naturalist Georg Steller saw this bird on a Russian exploration to Alaska in 1741.,,,,5,bowl,2,48,X,,,,2,,,,,1,,,3,,X,X,,,,,,,,X,,,,,X,X,,,,,,X,,,X,,,,,X,,,X,,Cyanocitta stelleri,Corvidae,Passeriformes,32NKJ,4,underused tier,https://navarog.github.io/wingsearch/card/231,FALSE
Stork-Billed Kingfisher,Pelargopsis capensis,asia,brown,"Choose any 1 [die]. Roll it once for each of your [wetland] birds. If you roll at least 1 [fish], gain 1 from the supply. You may cache it on this bird.","Kingfishers use their strong bills to dig burrows in river banks, dead trees, or termite nests.",X,,,6,cavity,2,56,,,X,,,2,,,,,,,2,,,,,,X,,,X,,,,,,,,,,,X,X,,,,X,,,,,,X,,X,,,Pelargopsis capensis,Alcedinidae,Coraciiformes,6TZF6,4,underused tier,https://navarog.github.io/wingsearch/card/436,TRUE
Stubble Quail,Coturnix pectoralis,oceania,white,Discard up to 6 [wild]. Lay 1 [egg] on this bird for each discarded food.,This common quail’s kidneys are adapted to need very little water.,,,,4,ground,6,29,,X,,1,1,,,,,,/,,1,,,,,,,,X,,,,,,,,X,,X,,,,,,,,,X,,X,,,,,,,Coturnix pectoralis,Phasianidae,Galliformes,YYSP,2,tier 1,https://navarog.github.io/wingsearch/card/346,FALSE
Sulphur-Crested Cockatoo,Cacatua galerita,oceania,brown,"Tuck 1 [card] from your hand behind this bird. If you do, all players gain 1 [nectar] from the supply.","While a flock of cockatoos is on the ground to feed, one bird often keeps guard from above.",,X,,6,cavity,2,103,X,,,,1,,1,,,,,,2,,,,,,X,,X,X,,,X,,,X,X,,,,,,,X,X,X,,,,,,X,X,,,,Cacatua galerita,Cacatuidae,Psittaciformes,P57C,4,underused tier,https://navarog.github.io/wingsearch/card/347,TRUE
